Country,Resilience,Resilience Loss
Albania,26.595000000000006,46.404999999999994
Argentina,113.95499999999998,129.04500000000002
Australia,25.525000000000006,22.474999999999994
Austria,22.759999999999998,28.240000000000002
Belgium,25.165,30.835
Brazil,38.555,33.445
Bulgaria,23.334999999999994,36.665000000000006
Cambodia,73.53,80.47
Canada,23.790000000000006,22.209999999999994
Chile,71.075,94.925
Colombia,40.94,55.06
Croatia,21.465000000000003,34.535
Denmark,9.540000000000006,6.459999999999994
Egypt,46.65500000000001,50.34499999999999
Estonia,17.22,11.780000000000001
Finland,9.870000000000005,5.1299999999999955
France,16.854999999999997,38.145
Germany,24.799999999999997,20.200000000000003
Greece,19.605000000000004,38.394999999999996
Hungary,25.36999999999999,23.63000000000001
Iceland,25.760000000000005,23.239999999999995
India,61.94,90.06
Indonesia,38.16,47.84
Ireland,34.375,53.625
Israel,20.550000000000004,27.449999999999996
Italy,22.590000000000003,54.41
Japan,21.299999999999997,10.700000000000003
Latvia,20.345,13.655000000000001
Lithuania,18.979999999999997,17.020000000000003
Luxembourg,21.0,35.0
Malaysia,33.87499999999999,41.12500000000001
Mexico,40.504999999999995,44.495000000000005
Morocco,28.81000000000001,82.19
Netherlands,28.33,23.67
New Zealand,19.375,41.625
Norway,16.565000000000005,10.434999999999995
Philippines,292.355,319.64500000000004
Poland,21.235000000000007,28.764999999999993
Portugal,28.33999999999999,49.66000000000001
Romania,22.14999999999999,38.85000000000001
Russia,22.159999999999997,15.840000000000003
Saudi Arabia,33.83999999999999,30.16000000000001
Serbia,24.660000000000004,37.339999999999996
Singapore,39.74,42.26
Slovakia,19.084999999999994,16.915000000000006
Slovenia,19.675000000000004,31.324999999999996
South Africa,53.72,66.28
Spain,25.525,59.475
Sweden,0.0,0.0
Switzerland,25.564999999999998,19.435000000000002
Thailand,30.485,38.515
Turkey,24.880000000000003,45.12
Ukraine,18.11999999999999,11.88000000000001
United Arab Emirates,47.169999999999995,45.830000000000005
United Kingdom,27.465000000000003,37.535
United States,20.545,16.455
Uruguay,50.605000000000004,54.394999999999996
Vietnam,19.159999999999997,19.840000000000003
